day,date,month,start,end,title,pdf,ipynb,speaker,institution,youtube
Monday,14,September,8:00,9:00,**Arrivals**,,,,,
Monday,14,September,9:00,10:30,**Introduction to GPs**,./talks/gp_gpss14_session1.pdf,,[Neil Lawrence](http://inverseprobability.com),University of Sheffield,
